unix,Date,symbol,Open,High,Low,Close,Volume BTC,Volume,tradecount
1658707200,2022.07.25 0:00,BTC/USDT,22577.13000000,226660000000,22530.93000000,22534.10000000,2882.11596000,65108850.10881450,84431
1658703600,2022.07.24 23:00,BTC/USDT,22661.22000000,22759.56000000,22513.70000000,22579.68000000,6223.90390000,140958931.56870520,187102
1658700000,2022.07.24 22:00,BTC/USDT,22806.47000000,23014.64000000,22555.27000000,22657.20000000,8908.24793000,203302351.32737590,256179
1658696400,2022.07.24 21:00,BTC/USDT,22718.33000000,228282000000,22671.41000000,22808.44000000,2965.26906000,67514632.80217490,115807
1658692800,2022.07.24 20:00,BTC/USDT,22699.12000000,22805.69000000,22670.21000000,22718.33000000,27191882000,61789350.80657060,111511
1658689200,2022.07.24 19:00,BTC/USDT,22712.48000000,22803.84000000,22663.44000000,22700.40000000,32368706000,73579335.47558720,128358
1658685600,2022.07.24 18:00,BTC/USDT,22772.14000000,22794.55000000,226800000000,22712.48000000,2717.86344000,61787048.99531190,115526
1658682000,2022.07.24 17:00,BTC/USDT,227091000000,22852.47000000,22661.76000000,22772.14000000,4349.53130000,99040366.36957760,144904
1658678400,2022.07.24 16:00,BTC/USDT,228478000000,22880.87000000,226300000000,227091000000,5631.70121000,127994249.59728760,171092
1658674800,2022.07.24 15:00,BTC/USDT,22774.30000000,22911.31000000,22741.40000000,228478000000,5505.14419000,125673368.68203030,172136
1658671200,2022.07.24 14:00,BTC/USDT,22567.75000000,228000000000,22533.73000000,22774.30000000,7379.40968000,167550257.67629460,220108
1658667600,2022.07.24 13:00,BTC/USDT,22495.59000000,22597.92000000,22447.44000000,22569.34000000,40507019000,91247315.19705510,145955
1658664000,2022.07.24 12:00,BTC/USDT,22657.63000000,22774.56000000,224440000000,22495.59000000,6324.61375000,143138795.53521060,188505
1658660400,2022.07.24 11:00,BTC/USDT,22521.80000000,22822.81000000,22507.74000000,22657.63000000,6687.37745000,1518423572916600,206286
1658656800,2022.07.24 10:00,BTC/USDT,22618.27000000,22681.10000000,224800000000,22521.80000000,4166.45175000,94046767.39273920,146731
1658653200,2022.07.24 9:00,BTC/USDT,22681.91000000,22763.36000000,22598.50000000,226179000000,37949665000,86066096.92626450,131352
1658649600,2022.07.24 8:00,BTC/USDT,227049000000,22744.37000000,225660000000,22681.91000000,4687.28807000,106122917.81321500,153484
1658646000,2022.07.24 7:00,BTC/USDT,22680.38000000,22839.99000000,22667.13000000,22701.60000000,5261.22335000,119690377.85011990,151258
1658642400,2022.07.24 6:00,BTC/USDT,22748.92000000,22768.36000000,22631.14000000,226790000000,4825.56751000,109523449.24118900,146270
1658638800,2022.07.24 5:00,BTC/USDT,22396.51000000,22787.21000000,22390.24000000,22749.98000000,80674379000,182598438.38875090,208964
1658635200,2022.07.24 4:00,BTC/USDT,22331.86000000,22412.43000000,22257.15000000,22396.51000000,2728.69300000,60997596.88175480,98334
1658631600,2022.07.24 3:00,BTC/USDT,224699000000,22476.13000000,222880000000,22331.86000000,2723.72942000,60916568.95565670,100578
1658628000,2022.07.24 2:00,BTC/USDT,224264000000,22483.28000000,22348.46000000,224699000000,3285.13041000,73604305.52390630,106020
1658624400,2022.07.24 1:00,BTC/USDT,22550.51000000,22589.28000000,22372.54000000,22423.58000000,3605.76684000,81086058.34366960,120724
1658620800,2022.07.24 0:00,BTC/USDT,22448.58000000,22677.37000000,22448.58000000,22549.18000000,5346.44400000,120747028.78432530,144054
1658617200,2022.07.23 23:00,BTC/USDT,224698000000,225590000000,22426.72000000,224517000000,4617.61937000,103865899.36820440,127532
1658613600,2022.07.23 22:00,BTC/USDT,22244.84000000,22517.10000000,22231.89000000,224698000000,6207.95182000,139179171.48253490,156941
1658610000,2022.07.23 21:00,BTC/USDT,223232000000,22360.16000000,22221.54000000,22243.32000000,2268.16680000,50545709.21595690,76661
1658606400,2022.07.23 20:00,BTC/USDT,22272.50000000,22380.69000000,22244.73000000,22325.82000000,33671875000,75122397.54717180,104681
1658602800,2022.07.23 19:00,BTC/USDT,220762000000,223320000000,22031.31000000,22272.50000000,4872.55609000,1080690117854620,138250
1658599200,2022.07.23 18:00,BTC/USDT,22031.84000000,22239.18000000,21934.57000000,220762000000,6295.40825000,139223668.97413250,166855
1658595600,2022.07.23 17:00,BTC/USDT,22189.54000000,22256.58000000,21947.22000000,22033.92000000,70558530000,155835440.79372870,192142
1658592000,2022.07.23 16:00,BTC/USDT,22216.90000000,22290.57000000,22174.22000000,22189.54000000,35861499000,79756139.52255650,126804
1658588400,2022.07.23 15:00,BTC/USDT,22147.70000000,22307.50000000,22117.42000000,22215.61000000,4984.63232000,110719605.35503720,155529
1658584800,2022.07.23 14:00,BTC/USDT,22339.97000000,22363.60000000,22039.89000000,22150.14000000,5153.78879000,114590094.34186780,154421
1658581200,2022.07.23 13:00,BTC/USDT,22282.72000000,22389.53000000,22264.38000000,223414000000,34576280000,77166948.57303620,119861
1658577600,2022.07.23 12:00,BTC/USDT,22230.28000000,22364.29000000,220874000000,22280.96000000,8601.54137000,191248922.84013400,210355
1658574000,2022.07.23 11:00,BTC/USDT,22516.58000000,225400000000,22210.67000000,22227.53000000,9234.66152000,206508400.27003870,234312
1658570400,2022.07.23 10:00,BTC/USDT,22666.17000000,22717.31000000,22405.26000000,22516.58000000,6609.83077000,149047787.99491030,192211
1658566800,2022.07.23 9:00,BTC/USDT,22608.56000000,22700.97000000,22524.36000000,22666.17000000,6535.23073000,147857175.38640010,192176
1658563200,2022.07.23 8:00,BTC/USDT,22771.94000000,22877.26000000,22561.72000000,22610.54000000,65291623000,148661683.17787710,198752
1658559600,2022.07.23 7:00,BTC/USDT,22827.46000000,22846.40000000,22675.12000000,22770.52000000,5577.41009000,126947305.66278140,179966
